Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
Proportion of population with access to public transport,Gliwice,Poland,Northern America and Europe,92.51, European Commission DG REGIO,534
Proportion of population with access to public transport,Ljubljana,Slovenia,Northern America and Europe,92.53, European Commission DG REGIO,535
Proportion of population with access to public transport,Fribourg,Switzerland,Northern America and Europe,92.54, European Commission DG REGIO,536
Proportion of population with access to public transport,Toulouse,France,Northern America and Europe,92.54, European Commission DG REGIO,537
Proportion of population with access to public transport,Pordenone,Italy,Northern America and Europe,92.54, European Commission DG REGIO,538
Proportion of population with access to public transport,Adeliade,Australia,Australia and New Zealand,92.55,UN-Habitat Urban Indicators Database,539
Proportion of population with access to public transport,Livingston,United Kingdom,Northern America and Europe,92.58, European Commission DG REGIO,540
Proportion of population with access to public transport,Telford,United Kingdom,Northern America and Europe,92.58, European Commission DG REGIO,541
Proportion of population with access to public transport,Zielona Góra,Poland,Northern America and Europe,92.62, European Commission DG REGIO,542
Proportion of population with access to public transport,Hradec Králové,Czech Republic,Northern America and Europe,92.64, European Commission DG REGIO,543
Proportion of population with access to public transport,Dublin,Ireland,Northern America and Europe,92.65, European Commission DG REGIO,544
Proportion of population with access to public transport,Leverkusen,Germany,Northern America and Europe,92.66, European Commission DG REGIO,545
Proportion of population with access to public transport,København,Denmark,Northern America and Europe,92.67, European Commission DG REGIO,546
Proportion of population with access to public transport,Fréjus,France,Northern America and Europe,92.67, European Commission DG REGIO,547
Proportion of population with access to public transport,Nijmegen,Netherlands,Northern America and Europe,92.67, European Commission DG REGIO,548
Proportion of population with access to public transport,R?ga,Latvia,Northern America and Europe,92.73, European Commission DG REGIO,549
Proportion of population with access to public transport,East Kilbride,United Kingdom,Northern America and Europe,92.8, European Commission DG REGIO,550
Proportion of population with access to public transport,Amersfoort,Netherlands,Northern America and Europe,92.82, European Commission DG REGIO,551
Proportion of population with access to public transport,Milton Keynes,United Kingdom,Northern America and Europe,92.83, European Commission DG REGIO,552
Proportion of population with access to public transport,Pozna?,Poland,Northern America and Europe,92.86, European Commission DG REGIO,553
Proportion of population with access to public transport,Berlin,Germany,Northern America and Europe,92.88, European Commission DG REGIO,554
Proportion of population with access to public transport,Amsterdam,Netherlands,Northern America and Europe,92.88, European Commission DG REGIO,555
Proportion of population with access to public transport,Augsburg,Germany,Northern America and Europe,92.91, European Commission DG REGIO,556
Proportion of population with access to public transport,Pardubice,Czech Republic,Northern America and Europe,92.91, European Commission DG REGIO,557
Proportion of population with access to public transport,Breda,Netherlands,Northern America and Europe,92.93, European Commission DG REGIO,558
Proportion of population with access to public transport,Olomouc,Czech Republic,Northern America and Europe,92.94, European Commission DG REGIO,559
Proportion of population with access to public transport,Maldonaldo,Uruguay,Latin America and the Caribbean,92.94,UN-Habitat Urban Indicators Database,560
Proportion of population with access to public transport,ARad,Romania,Northern America and Europe,83.2,UN-Habitat Urban Indicators Database,561
Proportion of population with access to public transport,"Gainesville, FL",United States,Northern America and Europe,73.74,UN-Habitat Urban Indicators Database,562
Proportion of population with access to public transport,Lütten Klein,Germany,Northern America and Europe,86.98, European Commission DG REGIO,563
Proportion of population with access to public transport,Busan,Republic of Korea (South Korea),Eastern Asia and South-Eastern Asia,89.64,UN-Habitat Urban Indicators Database,564
Proportion of population with access to public transport,Ruse,Bulgaria,Northern America and Europe,92.97, European Commission DG REGIO,565
Proportion of population with access to public transport,Ústí nad Labem,Czech Republic,Northern America and Europe,92.99, European Commission DG REGIO,566
Proportion of population with access to public transport,Zwolle,Netherlands,Northern America and Europe,92.99, European Commission DG REGIO,567
Proportion of population with access to public transport,Cergy-Pontoise,France,Northern America and Europe,93, European Commission DG REGIO,568
Proportion of population with access to public transport,Bonn,Germany,Northern America and Europe,93.02, European Commission DG REGIO,569
Proportion of population with access to public transport,Spijkenisse,Netherlands,Northern America and Europe,93.03, European Commission DG REGIO,570
Proportion of population with access to public transport,Cannock / Hednesford,United Kingdom,Northern America and Europe,93.04, European Commission DG REGIO,571
Proportion of population with access to public transport,Miskolc,Hungary,Northern America and Europe,93.11, European Commission DG REGIO,572
Proportion of population with access to public transport,Haunstetten,Germany,Northern America and Europe,93.15, European Commission DG REGIO,573
Proportion of population with access to public transport,Perugia,Italy,Northern America and Europe,93.16, European Commission DG REGIO,574
Proportion of population with access to public transport,Mechelen,Belgium,Northern America and Europe,93.19, European Commission DG REGIO,575
Proportion of population with access to public transport,Århus,Denmark,Northern America and Europe,93.2, European Commission DG REGIO,576
Proportion of population with access to public transport,Avilés,Spain,Northern America and Europe,93.21, European Commission DG REGIO,577
Proportion of population with access to public transport,Malmö,Sweden,Northern America and Europe,93.21, European Commission DG REGIO,578
Proportion of population with access to public transport,Orléans,France,Northern America and Europe,93.23, European Commission DG REGIO,579
Proportion of population with access to public transport,Zamo??,Poland,Northern America and Europe,93.28, European Commission DG REGIO,580
Proportion of population with access to public transport,Göppingen,Germany,Northern America and Europe,93.31, European Commission DG REGIO,581
Proportion of population with access to public transport,Székesfehérvár,Hungary,Northern America and Europe,93.34, European Commission DG REGIO,582
Proportion of population with access to public transport,Haarlem,Netherlands,Northern America and Europe,93.35, European Commission DG REGIO,583
Proportion of population with access to public transport,Žilina,Slovakia,Northern America and Europe,93.35, European Commission DG REGIO,584
Proportion of population with access to public transport,Benidorm,Spain,Northern America and Europe,93.38, European Commission DG REGIO,585
Proportion of population with access to public transport,Torrevieja,Spain,Northern America and Europe,93.4, European Commission DG REGIO,586
Proportion of population with access to public transport,Shumen,Bulgaria,Northern America and Europe,93.42, European Commission DG REGIO,587
Proportion of population with access to public transport,Harrogate,United Kingdom,Northern America and Europe,93.43, European Commission DG REGIO,588
Proportion of population with access to public transport,Veliko Tarnovo,Bulgaria,Northern America and Europe,93.44, European Commission DG REGIO,589
Proportion of population with access to public transport,Jyväskylä,Finland,Northern America and Europe,93.45, European Commission DG REGIO,590
Proportion of population with access to public transport,Emmen_Lucerne,Switzerland,Northern America and Europe,93.46,UN-Habitat Urban Indicators Database,591
Proportion of population with access to public transport,Salzburg,Austria,Northern America and Europe,93.48, European Commission DG REGIO,592
Proportion of population with access to public transport,Rugby,United Kingdom,Northern America and Europe,93.48, European Commission DG REGIO,593
